2017-01-25 04:59:12 Source:LogServer | Log Server Started | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | coords: x[-5579.7], y[-11361.1], planet[terrain/rori.trn] | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Item type: object/static/particle/shared_pt_poi_droid_weld_sparks.iff | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281686 | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | coords: x[4900.24], y[-8452.21], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281685 | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | coords: x[4892.56], y[-8461.95], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281670 | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | coords: x[4893.63], y[-8461.58], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281663 | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | coords: x[4894.01], y[-8461.15], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-25 04:59:12 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | End InitializeStaticObjects | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Player Structures Loaded: 0 | SEV: INFO
2017-01-25 04:59:12 Source:StructureUpdateThread | Structure Update thread Started | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Server Terminals Loaded: 2112 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Travel Destinations Retrieved:60 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Shuttles Loaded: 60 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Lair Templates Retrieved: 462 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Retrieved 650250 Heightmap Entries | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Corellia | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 27 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Dantooine | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 21 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Dathomir | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 24 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Endor | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 29 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Lok | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 30 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Naboo | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 39 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Rori | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
